via_point,mentions,sacco_count,num_corridors,corridors_touched,sample_saccos,example_via_raw,example_permit,VERDICT
outerring rd allsopsthika rd,2,2,1,thika_road,tawala shuttle limited | WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,"Bus station, NRB West Madaraka Mombasa RD, Langata RD, Lusaka RDCity Standium, Jogoo RD Donholm, OuterRing Rd AllsopsThika RD, UtawalaEastern BypassRuiru, RuakaWangige Kawangware, Ngong rd",tawala shuttle limited / NTR-0016,
utawalaeastern bypassruiru,2,2,1,thika_road,tawala shuttle limited | WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,"Bus station, NRB West Madaraka Mombasa RD, Langata RD, Lusaka RDCity Standium, Jogoo RD Donholm, OuterRing Rd AllsopsThika RD, UtawalaEastern BypassRuiru, RuakaWangige Kawangware, Ngong rd",tawala shuttle limited / NTR-0016,
ruakawangige kawangware,2,2,1,thika_road,tawala shuttle limited | WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,"Bus station, NRB West Madaraka Mombasa RD, Langata RD, Lusaka RDCity Standium, Jogoo RD Donholm, OuterRing Rd AllsopsThika RD, UtawalaEastern BypassRuiru, RuakaWangige Kawangware, Ngong rd",tawala shuttle limited / NTR-0016,
riruta,2,2,1,thika_road,WELKAN TRAVELLERS SERVICES LIMITED | WELKAN 48 TRAVELLERS SACCO SOCIETY LTD,"westlands, lavington,kawangware,riruta,naivas,gatina,redhill rd,nyari estate, kangemi",WELKAN 48 TRAVELLERS SACCO SOCIETY LTD / NTR-00201910041453230,
gatina,2,2,1,thika_road,WELKAN TRAVELLERS SERVICES LIMITED | WELKAN 48 TRAVELLERS SACCO SOCIETY LTD,"westlands, lavington,kawangware,riruta,naivas,gatina,redhill rd,nyari estate, kangemi",WELKAN 48 TRAVELLERS SACCO SOCIETY LTD / NTR-00201910041453230,
redhill rd,2,2,1,thika_road,WELKAN TRAVELLERS SERVICES LIMITED | WELKAN 48 TRAVELLERS SACCO SOCIETY LTD,"westlands, lavington,kawangware,riruta,naivas,gatina,redhill rd,nyari estate, kangemi",WELKAN 48 TRAVELLERS SACCO SOCIETY LTD / NTR-00201910041453230,
nyari estate,2,2,1,thika_road,WELKAN TRAVELLERS SERVICES LIMITED | WELKAN 48 TRAVELLERS SACCO SOCIETY LTD,"westlands, lavington,kawangware,riruta,naivas,gatina,redhill rd,nyari estate, kangemi",WELKAN 48 TRAVELLERS SACCO SOCIETY LTD / NTR-00201910041453230,
strathmore,2,1,1,thika_road,WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,"bus station, west madaraka, langata rd, strathmore",WEST MADARAKA ROUTE 14 COOPERATIVE SACCO. / ADR-BQ9SQ86,
dagoreti,20,8,0,(none known),SAFELINE MATATU SOCCO SOCIETY LIMITED | NAKILI SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD | PAKIN ALICIA SACCO SOCIETY LTD,"kikuyu, dagoreti, gikambura",2B TRAVELLERS SACCO LTD / NTR-00539,
mombasa,19,7,0,(none known),eastern bypass traverlers investment co. limited | EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | KAM TRANSPORTERS SACCO LTD,"Nyeri, Karatina Sagana Thika Nairobi Machakos Wote Kibwezi Voi, Mombasa",EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / NTR-00202202240934310,
kibwezi,17,4,0,(none known),KAM TRANSPORTERS SACCO LTD | MANCHESTER TRAVELLERS COACH LIMITED | eastern bypass traverlers investment co. limited,"nairobi, machakos, makueni, kitui, mutomo, kibwezi, ikutha, voi, mombasa",eastern bypass traverlers investment co. limited / ADR-537HQQ2,
magadi road,12,8,0,(none known),EMAAR CITY BUS LIMITED | SNOWBALL SACCO SOCIETY LTD | ongata rongai bus services,"kiserian, magadi road,langata road,mbagathi road,knh, railways",ELEVENTH HOUR TRANSPORT SACCO / NTR-00138,
namanga,12,5,0,(none known),Nailepu Travellers Sacco | SMOKE CITY SACCO LIMITED | NKIKAN SACCO SOCIETY LIMITED,"Kitengela, IsinyaKajiadoBissil, Namanga",Nailepu Travellers Sacco / NTR-00202007021212060,
kabiria,11,8,0,(none known),STARBUS COMPANY (K) LTD | DAKABO SACCO LIMITED | KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,"bomas, karen, kabiria, dagoretti market",DAKABO SACCO LIMITED / ADR-EPJSLLM,
makueni,11,4,0,(none known),KAM TRANSPORTERS SACCO LTD | NAKAMATA SAVINGS AND CREDIT COOPERATIVE SOCIETY LTD | eastern bypass traverlers investment co. limited,"nairobi, machakos, makueni, kitui, mutomo, kibwezi, ikutha, voi, mombasa",eastern bypass traverlers investment co. limited / ADR-537HQQ2,
mutomo,11,4,0,(none known),KAM TRANSPORTERS SACCO LTD | NAKAMATA SAVINGS AND CREDIT COOPERATIVE SOCIETY LTD | eastern bypass traverlers investment co. limited,"nairobi, machakos, makueni, kitui, mutomo, kibwezi, ikutha, voi, mombasa",eastern bypass traverlers investment co. limited / ADR-537HQQ2,
gikambura,10,4,0,(none known),PAKIN ALICIA SACCO SOCIETY LTD | 2B TRAVELLERS SACCO LTD | mat two friends limited,"kikuyu, dagoreti, gikambura",2B TRAVELLERS SACCO LTD / NTR-00539,
athiriver,10,4,0,(none known),seven city shuttle limited | KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | CBET SACCO,"gillhouse, muthurwa,jogoo road,buruburu,civil servant,Outering rd,Komarock Bus Park,Mombasa rd,Athiriver,Machakos,Kyumbi,Malili,Murarandi,Githiga, Kiria-ini",CBET SACCO / ADR-A5AC86D,
ikutha,10,3,0,(none known),KAM TRANSPORTERS SACCO LTD | NAKAMATA SAVINGS AND CREDIT COOPERATIVE SOCIETY LTD | eastern bypass traverlers investment co. limited,"nairobi, machakos, makueni, kitui, mutomo, kibwezi, ikutha, voi, mombasa",eastern bypass traverlers investment co. limited / ADR-537HQQ2,
satellite,9,4,0,(none known),LATEMA 22 TRAVELLERS SACCO | STARBUS COMPANY (K) LTD | KENYA BUS SERVICE MANAGEMENT LIMITED,"jkia, utawala, umoja, bururu, kencom, knh, ngumo, kibera, kawangware, satellite, karen, langata road, waiyaki way, hardy",EXPRESS CONNECTIONS LTD / ADR-3ZQSAYR,
temple rd,8,3,0,(none known),peja travellers limited | DREPEJA ROUTE LIMITED | OUTREACH TRAVEL,"Saika, Kangundo rdDandoraOuteringBuruburuJerichoMaringoJogoo rdOtc, Temple rd",DREPEJA ROUTE LIMITED / NTR-00202002270910280,
outering,8,3,0,(none known),prime  transcity limited | FORWARD TRAVELLERS SACCO LTD | OUTER CIRCLE SACCO,"kayole, umoja, outering, juja road, gikomba",FORWARD TRAVELLERS SACCO LTD / NTR-00206,
gillhouse,7,2,0,(none known),CBET SACCO | OUTER CIRCLE SACCO,"Gillhouse, Jogoo rd Buruburu Outering rd Kangundo rd, Koma bus park",CBET SACCO / NTR-00202012111552070,
maringo,7,4,0,(none known),DANDORA USAFIRI TRAVELLERS SACCO | DREPEJA ROUTE LIMITED | peja travellers limited,"muthurwa, jogoo road,maringo,jericho,bururburu, dandora",DANDORA USAFIRI TRAVELLERS SACCO / ADR-K9BFVV2,
bururu,7,2,0,(none known),KENYA BUS SERVICE MANAGEMENT LIMITED | EXPRESS CONNECTIONS LTD,"jkia, utawala, umoja, bururu, kencom, knh, ngumo, kibera, kawangware, satellite, karen, langata road, waiyaki way, hardy",EXPRESS CONNECTIONS LTD / ADR-3ZQSAYR,
mtitoandei,7,2,0,(none known),KAM TRANSPORTERS SACCO LTD | NAKAMATA SAVINGS AND CREDIT COOPERATIVE SOCIETY LTD,"nairobi, machakos,makueni,kibwezi, mtitoandei",KAM TRANSPORTERS SACCO LTD / ADR-MDMSKJO,
magadi,7,4,0,(none known),RONGAO SAVING AND CREDIT COOPERATIVE SOCIETY LIMITED | OROMATS SACCO SOCIETY LTD | SERIAN SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"Railways, KNH,Mbagathi Way,Rongai, Magadi",NGONG TRAVELLERS SACCO / NTR-0092,
mbagathi,7,5,0,(none known),SNOWBALL SACCO SOCIETY LTD | NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | NKIKAN SACCO SOCIETY LIMITED,"st.peters, valley road,serena,knh,mbagathi, ngumo",NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / NTR-00157,
embu,6,4,0,(none known),NEO KENYA MPYA COMMUTERS LIMITED | CIRCULAR CLASSIC COMPANY LIMITED | BENJO( K) LTD,"Embu, Kitui, Mwingi and Back",BENJO( K) LTD / NTR-00833,
mtito andei,6,4,0,(none known),KAM TRANSPORTERS SACCO LTD | MSAFI TRAVELLERS LIMITED | eastern bypass traverlers investment co. limited,"nairobi, machakos, wote, makindu, kitui, mutomo, kibwezi, mtito andei, ikutha, voi, mombasa",eastern bypass traverlers investment co. limited / ADR-A5ACPPM,
luthuli avenue,6,4,0,(none known),JESMAT TRAVELLERS CO-OPRATIVE | UMOJA INNERCORE TENA MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD | MADIWA MATATU OWNERS SACCO,"mfangano, eastleigh section 3, luthuli avenue",JESMAT TRAVELLERS CO-OPRATIVE / ADR-7WRS9L5,
thika nyeri nyahururu,5,3,0,(none known),GATANGA SHUTTLE LIMITED | GATANGA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD | CHANIA TRAVELLERS SACCO,"nairobi, thika nyeri nyahururu, nakuru",CHANIA TRAVELLERS SACCO / NTR-00183,
meru,5,2,0,(none known),NEO KENYA MPYA COMMUTERS LIMITED | CHANIA TRAVELLERS SACCO,"nairobi, thika, nyeri, meru",CHANIA TRAVELLERS SACCO / NTR-001145,
temple road,5,3,0,(none known),peja travellers limited | DREPEJA ROUTE LIMITED | OUTER CIRCLE SACCO,"Jericho, Maringo,Jogoo road,, Temple road",DREPEJA ROUTE LIMITED / NTR-00109,
emabakasi,5,2,0,(none known),ROYAL SWIFT EXPRESS LIMITED | EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,"emabakasi, jogoo road, accra road",EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD / ADR-O68I2OK,
eastleigh section 3,5,3,0,(none known),JESMAT TRAVELLERS CO-OPRATIVE | MADIWA MATATU OWNERS SACCO | UMOJA INNERCORE TENA MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"mfangano, eastleigh section 3, luthuli avenue",JESMAT TRAVELLERS CO-OPRATIVE / ADR-7WRS9L5,
ndunyu,5,3,0,(none known),NANGKIS MATATU SACCO | NGONG TRAVELLERS SACCO | LUMINOUS SHUTTLES LIMITED,"kiserian, ngong, ndunyu, yaya, gpo, ambassadour, railways",LUMINOUS SHUTTLES LIMITED / ADR-VYAS98E,
dagorretti,4,3,0,(none known),PAKIN ALICIA SACCO SOCIETY LTD | 2B TRAVELLERS SACCO LTD | mat two friends limited,"railways, kawangware,dagorretti,kikuyu, gikambura",2B TRAVELLERS SACCO LTD / NTR-00667,
suswa,4,2,0,(none known),NANGKIS MATATU SACCO | 2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"suswa, kimuka ngong dagoretti corner kawangware uthiru Kikuyu kamangu thigio ngecha wangige kahawa west via Kiambu KU hospital ruiru limuru, nakuru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00202107221145140,
eldoret,4,1,0,(none known),CHANIA TRAVELLERS SACCO,"Nairobi, Thika Gatura Olkalou Nyahururu Nakuru, Eldoret",CHANIA TRAVELLERS SACCO / NTR-00567,
komarocksmolemjuja road,4,4,0,(none known),prime  transcity limited | DIX-HULT MATATU OWNER SACCO | FORWARD TRAVELLERS SACCO LTD,"kayole, komarocksmolemjuja road, eastleigh",DIX-HULT MATATU OWNER SACCO / ADR-A5AC8Z7,
taveta,4,1,0,(none known),FORWARD TRAVELLERS SACCO LTD,"nairobi, emali,oloitoktok, taveta",FORWARD TRAVELLERS SACCO LTD / NTR-00246,
riruta satelite,4,3,0,(none known),GARAMU TRAVEL SOLUTIONS LIMITED | PALS MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | mat two friends limited,"railways, ngong rd,hurlingham,yaya,korosho/mbaazi,kawanware,riruta satelite,waithaka,dagoretti market, kikuyu",GARAMU TRAVEL SOLUTIONS LIMITED / ADR-8LMS5QE,
lungalunga,4,2,0,(none known),INTER COUNTIES TRAVELLERS SACCO | OUTREACH TRAVEL,"muthurwa, jogoo road,likoni road,lungalunga, donholm",INTER COUNTIES TRAVELLERS SACCO / ADR-K9BFYJY,
abambassador,4,2,0,(none known),LATEMA 22 TRAVELLERS SACCO | STARBUS COMPANY (K) LTD,"railways, abambassador, kawangware, uthiru",LATEMA 22 TRAVELLERS SACCO / ADR-K9BF68M,
dunyu,4,3,0,(none known),NANGKIS MATATU SACCO | NGONG TRAVELLERS SACCO | LUMINOUS SHUTTLES LIMITED,"kiserian, railways,ngong, karen , dunyu, yaya, ambassador",LUMINOUS SHUTTLES LIMITED / ADR-WZ9SWWB,
moyale,4,2,0,(none known),MANCHESTER TRAVELLERS COACH LIMITED | zam zam fourty five limited,"Nairobi, Bypass Juja Eastleigh Ruiru Thika Isiolo Marsabit, Moyale",MANCHESTER TRAVELLERS COACH LIMITED / NTR-00581,
dagoreti corner,4,3,0,(none known),NANGKIS MATATU SACCO | NGOKANA SAVINGS AND CREDIT COOPERATIVE SOCIETY | rasasi travellers limited,"kiserian, ngong,karen,dagoreti corner,prestige, kenyatta",NANGKIS MATATU SACCO / NTR-00201901141019580,
serena,4,1,0,(none known),NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"St peters, Serena,Valley rd,Knh,Ngumo,Soweto,Kibera,Mbagathi rd,Tmall,Nyayo stadium,Lusaka rd,Enterprise rd, General Motors",NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / NTR-00201911111218030,
valley road,4,1,0,(none known),NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"st.peters, valley road,serena,knh,mbagathi, ngumo",NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / NTR-00157,
lunga lunga,4,1,0,(none known),QUE SERVICES SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"huruma, eeastleigh, lunga lunga",QUE SERVICES SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00731,
within,4,1,0,(none known),RWAKEN INVESTMENTS LIMITED,"nairobi, within, nairobi",RWAKEN INVESTMENTS LIMITED / NTR-00948,
moulem,4,1,0,(none known),UMOINNER SACCO LTD,"ronald ngala, jogoo road,buru buru,kangundo road, moulem",UMOINNER SACCO LTD / NTR-00125,
kiria ini,3,1,0,(none known),CBET SACCO,"kenol, njumbi murarandaia githiga, kiria-ini",CBET SACCO / NTR-00202104141524480,
civilservant,3,2,0,(none known),CBET SACCO | OUTER CIRCLE SACCO,"gillhouse, civilservant,muthurwa,jogoo road, buruburu",CBET SACCO / ADR-9AKFR5P,
juja farm,3,2,0,(none known),JUJA ATHI TRAVELLERS SACCO. | CHELSEA TRANSPORTERS LIMITED,"Commercial, Bus Station Thika Rd Zimmerman Githurai 44 Kahawa West Ruiru Ruaka Limuru Juja, Juja Farm",CHELSEA TRANSPORTERS LIMITED / NTR-00202211011801400,
ambassadours,3,2,0,(none known),COMPLIANT MOA | DAKIKA MATATU OWNERS SACCO,"ngong, karen, yaya, ambassadours, jogoo road, buruburu, civil servant",COMPLIANT MOA / ADR-K9BFZEP,
within nairobi,3,1,0,(none known),DOMANN ENTERPRISES,"WITHIN NAIROBI, WITHIN NAIROBI, WITHIN NAIROBI",DOMANN ENTERPRISES / ADR-2DVSDYJ,
kangundo rddandoraouteringburuburujerichomaringojogoo rdotc,3,2,0,(none known),peja travellers limited | DREPEJA ROUTE LIMITED,"Saika, Kangundo rdDandoraOuteringBuruburuJerichoMaringoJogoo rdOtc, Temple rd",DREPEJA ROUTE LIMITED / NTR-00202002270910280,
easternbypass,3,2,0,(none known),NAKAM SACCO SOCIETY LIMITED | eastern bypass traverlers investment co. limited,"kangundo, ruai, easternbypass, mlolongo, emali, loitoktok, ellasit",eastern bypass traverlers investment co. limited / NTR-00376,
enterprise rd,3,3,0,(none known),EASTLANDS EAGLES LIMITED | NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | UMOJA INNERCORE TENA MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"Muthurwa, Jogoo RoadLikoni Road Industrial area, Enterprise rd",EASTLANDS EAGLES LIMITED / NTR-00288,
kangema,3,1,0,(none known),FORWARD TRAVELLERS SACCO LTD,"KANGEMA, MURANGA-THIKA-RUIRU-E BYPASS-KANGUNDO RD-JOGOO RD-JUJA RD-EASTLIEGH-GIKOMBA-ALSOLPS-NGARA-MFANGANO STREET-BUS STATION-MUTHURWA-KAYOLE-KOMAROCKS-UMOJA-MOWLEM-SAVVANNAH-CABANAS-UTAWALA-MIHANGO-TASSIA LINK RD-MALAA-MOMBASA RD-EMALI, LOITOKTOK",FORWARD TRAVELLERS SACCO LTD / NTR-00202102051741120,
bungoma,3,2,0,(none known),FORWARD TRAVELLERS SACCO LTD | LIRA LINE SACCO SOCIETY LTD,"Voi, Ikutha Kibwezi Mwingi Mutomo Kitui Makueni Kilimambogo Nairobi Narok Kisii Nyamira Kisumu Siaya, Bungoma",FORWARD TRAVELLERS SACCO LTD / NTR-00202211180859400,
ruiru underpass,3,2,0,(none known),prime  transcity limited | FORWARD TRAVELLERS SACCO LTD,"otc, jogoo rd, kayole, mihango, eastern bypass, ruiru underpass",FORWARD TRAVELLERS SACCO LTD / ADR-BQ9SQ3A,
ronald ngala zimmermankiambugithuraikahawa westoutering roadnorthern bypasseastern bypassruiruthika,3,3,0,(none known),RUKAGINA 44 SACCO | ISKA INVESTMENTS COMPANY LTD. | zam zam fourty five limited,"Commercial, Ronald ngala Zimmermankiambugithuraikahawa westoutering roadnorthern bypasseastern bypassruiruthika, Makongeni",ISKA INVESTMENTS COMPANY LTD. / NTR-00202107221159520,
majengo,3,1,0,(none known),JESMAT TRAVELLERS CO-OPRATIVE,"mfangano street, gikomba, majengo",JESMAT TRAVELLERS CO-OPRATIVE / ADR-EPJSE9J,
athi,3,1,0,(none known),JUJA ATHI TRAVELLERS SACCO.,"juja, juja farm, athi",JUJA ATHI TRAVELLERS SACCO. / NTR-00201906201608210,
muguga,3,2,0,(none known),WAKIMALI TRAVELLERS CO. LIMITED | KIDAGI SACCO,"Kikuyu, Dagoretti Gikambura Ruthigiti Kamangu Limuru via, Muguga .",KIDAGI SACCO / NTR-00202009221217140,
railway,3,2,0,(none known),KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | RISEN COMPANY LIMITED,"railway, machakos, athi river",KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / ADR-EPJSAQK,
nduyu,3,3,0,(none known),NANGKIS MATATU SACCO | NGONG TRAVELLERS SACCO | LUMINOUS SHUTTLES LIMITED,"kiserian, ngong,karen,nduyu,yaya,gpo,ambassador, railways",LUMINOUS SHUTTLES LIMITED / NTR-0096,
moi lane,3,1,0,(none known),MERUIT LOGISTICS LIMITED,"Moi Lane, Odeon Thika Rd Marurui Ruiru Ruaka Kiambu Thika, Makongeni",MERUIT LOGISTICS LIMITED / ADR-DB3T56V,
narok,3,1,0,(none known),METROTRANS EAST AFRICA LIMITED,"nairobi, narok, bomet",METROTRANS EAST AFRICA LIMITED / NTR-00947,
bomet,3,1,0,(none known),METROTRANS EAST AFRICA LIMITED,"nairobi, narok, bomet",METROTRANS EAST AFRICA LIMITED / NTR-00947,
migori,3,1,0,(none known),METROTRANS EAST AFRICA LIMITED,"Thika, NairobiKawangwareKikuyu Narok Bomet Kisii Homabay, Migori",METROTRANS EAST AFRICA LIMITED / NTR-00202012241143330,
prestige,3,2,0,(none known),NANGKIS MATATU SACCO | NGOKANA SAVINGS AND CREDIT COOPERATIVE SOCIETY,"kiserian, ngong,karen,dagoreti corner,prestige, kenyatta",NANGKIS MATATU SACCO / NTR-00201901141019580,
koma hill,3,1,0,(none known),NEEMA TRAVELLERS AGENCY LIMITED,"Kangundo rd, Ruai Greater Eastern Link rd Mwalimu fgarm Malaa, Koma Hill",NEEMA TRAVELLERS AGENCY LIMITED / NTR-00202010261059350,
shauri moyo,3,1,0,(none known),RISEN COMPANY LIMITED,"Shauri moyo, Jogoo rd Buruburu outering civil servant Umoja Kangundo rd kayole Soweto Komarock Savannah Embakasi Industrial area Eastern Bypass Mombasa rd Ktani Syokimau Mlolongo Kajiado Athi river Machakos Kangundo Outering rd Juja rd Eastleigh Kabirea SatelliteNrb Upperhill Moi Avenue Community Westlands Parklands Forest rd Thika rd Zimmerman 44 Kahawa West Ruiru, Thika(Makongeni)",RISEN COMPANY LIMITED / ADR-BQ9SPKR,
within kenya,3,1,0,(none known),RWAKEN INVESTMENTS LIMITED,"within kenya, within kenya, within kenya",RWAKEN INVESTMENTS LIMITED / NTR-001253,
likoni,3,1,0,(none known),TELAVIV TRAVELLERS LIMITED,"south c, south b,likoni, eastleigh",TELAVIV TRAVELLERS LIMITED / NTR-00201901041436380,
khoja via ngara rd,2,1,0,(none known),BYBUSS TRANS LIMITED,"Khoja via Ngara Rd, WestlandsWangige via Lower Kabete RdNyathunaNgechaKabukuLimuru Kikuyu Kiambu Ruiru, Thika(Makongeni)",BYBUSS TRANS LIMITED / NTR-00202007061248330,
ngong dagoretti wangige khoja thika gatuanyaga ruiru kiambu,2,2,0,(none known),KARURI COMMUTERS SERVICES SAVINGS AND CREDIT CO-OPERTAIVE SOCIETY LIMITED | BYBUSS TRANS LIMITED,"Kiserian, Ngong Dagoretti Wangige Khoja Thika Gatuanyaga Ruiru Kiambu, Limuru .",BYBUSS TRANS LIMITED / NTR-00202009081636350,
kyumbi,2,1,0,(none known),CBET SACCO,"kyumbi, malili, konza city",CBET SACCO / NTR-00202104141523000,
malili,2,1,0,(none known),CBET SACCO,"kyumbi, malili, konza city",CBET SACCO / NTR-00202104141523000,
juja town,2,2,0,(none known),CIRCULAR CLASSIC COMPANY LIMITED | JONSAGA FLATS SACCO,"Nairobi, Eastleigh,Pangani Terminus,Juja town, Thika",CIRCULAR CLASSIC COMPANY LIMITED / ADR-WZ9SDA5,
arkwings kodhek,2,1,0,(none known),city star shuttle limited,"kikuyu, kawangware,yaya,arkwings kodhek,yaya,ambassadour,jkia,utawala, joska",city star shuttle limited / NTR-00592,
kitengela athi river syokimau sgr mombasa rd jkia utawala ruai malaa kantafu kangundo rd umoja outering rd juja rd buruburu jogoo rd south b bus station ambassador kencom knh langata rd ongata rongai kiserian ngong karen hardy kawangware kikuyu waiyaki way,2,2,0,(none known),city star shuttle limited | KENYA BUS SERVICE MANAGEMENT LIMITED,"Isinya, Kitengela Athi river Syokimau SGR Mombasa rd JKIA Utawala Ruai Malaa Kantafu Kangundo rd Umoja Outering rd Juja rd Buruburu Jogoo rd South B Bus station Ambassador Kencom KNH Langata rd Ongata Rongai Kiserian Ngong Karen Hardy Kawangware Kikuyu Waiyaki way, Thika",city star shuttle limited / ADR-JY7SED8,
argwings kodhek,2,1,0,(none known),city star shuttle limited,"kikuyu, kawangware, yaya, argwings kodhek, yaya, ambassadour, jkia, utawala",city star shuttle limited / ADR-REOSR9R,
ambassdour,2,1,0,(none known),COMPLIANT MOA,"kiserian, ngong,karen,yaya,ambassdour,jogoo road, civil servant",COMPLIANT MOA / NTR-00495,
ambasdours,2,2,0,(none known),NANGKIS MATATU SACCO | COMPLIANT MOA,"ngong, yaya, kawangware, ambasdours, jogoo road, buruburu, civil servant",COMPLIANT MOA / ADR-EPJSRA9,
bururburu,2,2,0,(none known),DANDORA USAFIRI TRAVELLERS SACCO | OUTER CIRCLE SACCO,"muthurwa, jogoo road,maringo,jericho,bururburu, dandora",DANDORA USAFIRI TRAVELLERS SACCO / ADR-K9BFVV2,
wangari maathai rd,2,1,0,(none known),DOMANN ENTERPRISES,"Embakasi, Mombasa rd,South b,South c,Langata rd,Westlands,,Wangari maathai rd,Thika rd,Outering rd, Embakasi",DOMANN ENTERPRISES / NTR-00201909271238580,
saika dandora kariobangi alsops outering rd utawala buruburu jericho maringo bahati jogoo rd likoni rd donholm sinai juja rd otc,2,1,0,(none known),DREPEJA ROUTE LIMITED,"kangundo rd, Saika Dandora Kariobangi Alsops Outering Rd Utawala Buruburu Jericho Maringo Bahati Jogoo Rd Likoni Rd Donholm(sinai) juja rd OTC, temple rd",DREPEJA ROUTE LIMITED / ADR-6DBSK32,
makindu,2,2,0,(none known),KAM TRANSPORTERS SACCO LTD | eastern bypass traverlers investment co. limited,"nairobi, machakos, wote, makindu, kitui, mutomo, kibwezi, mtito andei, ikutha, voi, mombasa",eastern bypass traverlers investment co. limited / ADR-A5ACPPM,
mlolongoembakasijogoo rdmombasa roadoutering roadsavannah routealsops,2,2,0,(none known),ongata rongai bus services | EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,"KITENGELA, MLOLONGOEMBAKASIJOGOO RDMOMBASA ROADOUTERING ROADSAVANNAH ROUTEALSOPS, ACCRA RD",EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD / NTR-00201909271127470,
accra,2,1,0,(none known),EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,"Accra, Mombasa rdJogoo rdEmbakasiMlolongo, Kitengela",EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD / ADR-BQ9S52M,
ngong rd kawangware kabiria waithaka dagoretti market karen ngong kikuyu lusigetti,2,2,0,(none known),EXPRESO LIMITED | KADANA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"Railways, Ngong rd Kawangware Kabiria Waithaka Dagoretti market Karen Ngong Kikuyu Lusigetti, Kamangu",EXPRESO LIMITED / NTR-00202012111036520,
western bypass,2,1,0,(none known),EXPRESO LIMITED,"limuru, kikuyu dagoretti mrktkabiria kawangware knh ambassador moi service lane tom mboya rongai gataka karen ngong kiserian isinya katani cabanas outering rd juja rd eastleigh gikomba thika rd mwiki lucky summer komarocks rd kangundo rd eastern bypass infinity kenol kiambu ruaka, western bypass",EXPRESO LIMITED / ADR-537HWAM,
buru,2,1,0,(none known),EXPRESS CONNECTIONS LTD,"jkia, umoja, buru, jogoo road, gpo, knh, yaya, kawangware, setlite",EXPRESS CONNECTIONS LTD / NTR-00176,
setlite,2,1,0,(none known),EXPRESS CONNECTIONS LTD,"jkia, umoja, buru, jogoo road, gpo, knh, yaya, kawangware, setlite",EXPRESS CONNECTIONS LTD / NTR-00176,
oloitoktok,2,1,0,(none known),FORWARD TRAVELLERS SACCO LTD,"nairobi, emali,oloitoktok, taveta",FORWARD TRAVELLERS SACCO LTD / NTR-00246,
hurlingham,2,1,0,(none known),GARAMU TRAVEL SOLUTIONS LIMITED,"railways, ngong rd,hurlingham,yaya,korosho/mbaazi,kawanware,riruta satelite,waithaka,dagoretti market, kikuyu",GARAMU TRAVEL SOLUTIONS LIMITED / ADR-8LMS5QE,
korosho/mbaazi,2,1,0,(none known),GARAMU TRAVEL SOLUTIONS LIMITED,"railways, ngong rd,hurlingham,yaya,korosho/mbaazi,kawanware,riruta satelite,waithaka,dagoretti market, kikuyu",GARAMU TRAVEL SOLUTIONS LIMITED / ADR-8LMS5QE,
